GSE50509,GSE91061,GSE50509|GSE91061
CEMIP,ADA2,MN1
LINC01091,SLC29A3,ITGBL1
COMP,HVCN1,DPT
PRND,DPEP2,CRISPLD2
IGSF21,LIPA,CDH11
FNDC1,MAFB,GPR68
ASGR1,TM6SF1,ROR2
ID1,CD33,RAB31
SYNDIG1,IRF5,PDGFRL
MANF,HLA-DMB,SFRP2
NNMT,FKBP15,PRRX2
PAGE1,NAGK,PTGS1
PCDH9,CTSS,HAVCR2
TENM4,SLC15A3,CPE
HDC,ATG7,EFEMP1
TIMP1,TREM2,TMSB4X
CRABP1,FCHO2,A4GALT
MMP1,NCKAP1L,HMOX1
MKX,NFAM1,FBLN1
COL13A1,ACP5,NUAK1
AKR1C3,IGSF6,FBLN2
SOX18,KCNJ5,SFRP4
RASL11B,MFSD1,COL8A1
SGIP1,LY86,TBL1X
CRABP2,MPP1,CPA3
FNDC4,PSAP,LPAR1
SLITRK4,PTAFR,STMN2
SNCAIP,LILRA6,JAM2
SYT13,SYK,LTBP2
PRL,TBXAS1,EGR2
TMEM100,SIGLEC9,CLEC4A
MAGEA4,LAIR1,PDPN
EMX2,CD68,COL1A1
LOC442028,PRCP,CSF1R
GABRR1,RAB42,TLL1
NTS,SIGLEC7,APLNR
PPEF1,TLR5,CD163
ID3,HS3ST2,WNT2
CNN1,LACC1,ID2
CBLN2,PIK3R6,RSPO3
NEXN,GM2A,RNASE6
ALPL,TMEM86A,CCN5
PIWIL4,CD180,RARRES2
THBS1,BTK,PTPRD
MDK,SLC8B1,ECM2
MAEL,CD4,FAM124B
SRPX2,RNASET2,PRR5L
ACTC1,CD300LF,MFAP5
CPXM2,PIK3IP1,KIAA1217
SELENOM,SLC37A2,FAM110D
MECOM,SLC38A6,FGD5
ACKR4,NPL,TPSAB1
PRAC1,MSR1,PRICKLE1
CCDC178,CD300LB,DCN
CRLF1,PLD3,PDGFRA
CDH17,IRF8,LINC01235
PCDH11X,IL10RA,COL12A1
NPAS1,CMKLR1,PLXDC2
RASD1,MPEG1,FGF7
SIX4,NPC2,LRRC15
SLC11A1,LSP1,PCDH18
ODAD2,SOWAHD,SMOC2
ADAM19,RNF135,CLMP
RGS16,FCGR2B,CD248
DES,LGMN,FBN1
KCNK12,SLC36A1,CLEC14A
KANK4,CRYBB1,EYA2
EPHA3,OTOAP1,TMEM119
GABRB1,PKD2L1,GLT8D2
NPW,SUSD1,ISLR
MYH11,SIRPB2,TPSB2
CENPV,ARHGAP30,TAGLN
SNORD17,SELPLG,LUM
TCIM,PLA2G15,EPYC
HRC,JAML,ZNF423
REM2,CTSH,COL5A1
DACT1,ITGAM,SLC12A8
TMEFF2,EEPD1,HLA-DPB1
GEM,MACROH2A1,COL1A2
RASSF9,FCGRT,COL3A1
CCN2,CTSD,C1orf162
SH3GL3,ZMYND15,CXCL12
LTC4S,SCPEP1,PALLD
