GSE50509,GSE91061,GSE50509|GSE91061
TMEM14C,ESR2,FCMR
TNFRSF13B,COX7B2,CD79A
RPS17,LRRC72,CD19
DKC1,UBE2Q2,CSTF3
JSRP1,PKD1L1-AS1,SRSF10
TNFRSF17,FILNC1,POU2AF1
RPS16,MIR4689,RNF141
MZB1,USP53,VDAC2
TMPRSS9,EPHA4,COMMD4
PIM2,LINC00922,SUCLG1
SLC25A17,MTCL3,ZNF330
HPN,RNLS,COX5A
HTN1,IMP3,RPAP2
TLN1,MTRNR2L8,PALS1
SBF2,TCERG1L,RPL26L1
CSAD,CLEC17A,CSDE1
LPIN1,ST6GALNAC3,THAP6
GMPR,KRTAP2-3,MEAF6
SCN1B,TNNI3,EIF5B
RPL37A,CHRNB4,HMGN2
VPREB3,HEXIM1,PLRG1
CDK13,COMMD2,NUDT9
PARVA,MIR3197,GAR1
RPS2,HLTF,TRMT5
MGAT3,SSPN,SRRM1
TMEM131L,PAX5,PBRM1
ZNF594,ARPP19,ATP5PB
SLC29A1,CCDC144NL,POP5
CUL1,RLN2,CDK11B
CDK20,OC90,SNHG8
DYNC2I1,ISG20,VAMP3
H2BC4,PTPN9,ICE2
LAMP2,MESD,SLC25A3
RACK1,RBMY2EP,TLK2
PER3,ANKUB1,USP46
OCRL,PSEN2,LRIG2
GPRC5C,FER1L6,USP48
RPL41,FAM167A,CAMK1G
RPS18,STX18,ZZZ3
KLRB1,EIF4A3,DDX24
ASB16,RAB11A,RRAGD
RIPK1,ACAT2,ANXA2R-OT1
OPLAH,DIS3L,SIN3A
MTOR,ARSG,SFSWAP
RPL10,LSS,CEP44
PDE9A,CARD14,POLG
SGCD,C21orf91-OT1,GJC1
GRAMD2B,CHMP1B,GLMN
MMP12,SLCO5A1,CEPT1
CCDC140,EIF3B,HACD3
ZNHIT6,BNIP2,ZNF131
CD83,TSC22D2,BLK
RPL13AP5,DNM1P35,SYNE2
UVRAG,BTBD10,CXCR5
FBXO10,DCAF4L2,PMS2
GCLC,CHRNA3,NDUFA12
SETD6,TSPAN3,ERH
IGLL3P,EVA1C,SGK1
AUTS2,FCRL2,AGPS
RPL14,VAPA,CRADD
LILRB3,PCCA,ELP2
PPARGC1B,SNX33,ABCE1
RPL27A,LINC00520,TBCK
RPL22,TLNRD1,TBCD
MTHFD1,RDUR,OXCT1
TYW1,SEC14L1,EED
MXRA7,ARMC8,AASDH
LINC01347,HYKK,C15orf61
DERL3,LCMT1,TTLL5
NLGN3,SLC39A11,RAD54B
ARIH1,CDCA2,GTF2B
ECI2,PRKD3,SDAD1
NAPB,ZWILCH,IFT43
CTSF,RIMOC1,ETFA
RPLP2,GMFB,CMPK1
ST6GALNAC4,CARS1,H2AZ1
ZNF318,MGC16275,SRP72
