GO.ID	Description	p.Val	FDR	Phenotype	Genes
CORUM:320	55S ribosome, mitochondrial	0.000238602604733351	0.000238602604733351	+1	42
CORUM:193	PA700-20S-PA28 complex	0.000618291844699724	0.000618291844699724	+1	22
CORUM:181	26S proteasome	0.000747373444348851	0.000747373444348851	+1	15
CORUM:32	PA700 complex	0.00219050646590114	0.00219050646590114	+1	15
CORUM:324	39S ribosomal subunit, mitochondrial	0.00539946203785285	0.00539946203785285	+1	27
CORUM:2825	BRCA1-RNA polymerase II complex	0.005620611516632	0.005620611516632	+1	15
CORUM:103	RNA polymerase II holoenzyme complex	0.0348522936265765	0.0348522936265765	+1	13
GO:0006996	organelle organization	4.54193729689502e-51	4.54193729689502e-51	+1	845
GO:0019538	protein metabolic process	1.74184479520194e-49	1.74184479520194e-49	+1	1063
GO:1901564	organonitrogen compound metabolic process	9.03250436440315e-49	9.03250436440315e-49	+1	1237
GO:0044271	cellular nitrogen compound biosynthetic process	3.52199214961464e-45	3.52199214961464e-45	+1	1035
GO:0051171	regulation of nitrogen compound metabolic process	7.93132604161786e-43	7.93132604161786e-43	+1	1126
GO:0043412	macromolecule modification	3.08002769556223e-41	3.08002769556223e-41	+1	751
GO:0080090	regulation of primary metabolic process	1.29264672648719e-40	1.29264672648719e-40	+1	1142
GO:0009057	macromolecule catabolic process	2.11215600311144e-36	2.11215600311144e-36	+1	376
GO:0007049	cell cycle	3.98108563910003e-36	3.98108563910003e-36	+1	470
GO:0046907	intracellular transport	2.27214494656711e-35	2.27214494656711e-35	+1	380
GO:0036211	protein modification process	2.24144259922362e-33	2.24144259922362e-33	+1	683
GO:0006974	DNA damage response	2.1084471005678e-31	2.1084471005678e-31	+1	272
GO:0051649	establishment of localization in cell	3.61609703053107e-31	3.61609703053107e-31	+1	484
GO:0009056	catabolic process	3.02298807950559e-29	3.02298807950559e-29	+1	584
GO:1901362	organic cyclic compound biosynthetic process	3.72825600804155e-29	3.72825600804155e-29	+1	877
GO:0019438	aromatic compound biosynthetic process	7.71762278744145e-29	7.71762278744145e-29	+1	851
GO:0019219	regulation of nucleobase-containing compound metabolic process	8.34418166673171e-29	8.34418166673171e-29	+1	842
GO:0018130	heterocycle biosynthetic process	8.43398890881151e-29	8.43398890881151e-29	+1	849
GO:0006259	DNA metabolic process	4.33068098747226e-28	4.33068098747226e-28	+1	294
GO:0044238	primary metabolic process	4.0045925661937e-27	4.0045925661937e-27	+1	2115
GO:0030163	protein catabolic process	7.82420227492209e-27	7.82420227492209e-27	+1	276
GO:0043632	modification-dependent macromolecule catabolic process	1.45283084356919e-26	1.45283084356919e-26	+1	201
GO:0034654	nucleobase-containing compound biosynthetic process	1.78039900042731e-26	1.78039900042731e-26	+1	826
GO:0006511	ubiquitin-dependent protein catabolic process	1.99904938257319e-26	1.99904938257319e-26	+1	196
GO:0019941	modification-dependent protein catabolic process	2.60256512381446e-26	2.60256512381446e-26	+1	198
GO:0051603	proteolysis involved in protein catabolic process	4.73189083724288e-26	4.73189083724288e-26	+1	224
GO:0006807	nitrogen compound metabolic process	1.14497551743976e-24	1.14497551743976e-24	+1	2031
GO:0033554	cellular response to stress	1.38904464132118e-24	1.38904464132118e-24	+1	425
GO:0000278	mitotic cell cycle	1.67651641718565e-24	1.67651641718565e-24	+1	255
GO:0051641	cellular localization	2.06875913888106e-24	2.06875913888106e-24	+1	749
GO:0022402	cell cycle process	8.70382298328971e-24	8.70382298328971e-24	+1	329
GO:0006281	DNA repair	1.05024598739636e-22	1.05024598739636e-22	+1	189
GO:0009894	regulation of catabolic process	1.93154244793429e-22	1.93154244793429e-22	+1	276
GO:0043687	post-translational protein modification	9.90925636163162e-22	9.90925636163162e-22	+1	273
GO:0051252	regulation of RNA metabolic process	1.37488746283318e-21	1.37488746283318e-21	+1	760
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	2.38643518657084e-21	2.38643518657084e-21	+1	140
GO:1901566	organonitrogen compound biosynthetic process	2.66990706677159e-21	2.66990706677159e-21	+1	412
GO:1903047	mitotic cell cycle process	1.31294115646655e-20	1.31294115646655e-20	+1	214
GO:0006412	translation	4.76257944795644e-20	4.76257944795644e-20	+1	208
GO:1901575	organic substance catabolic process	1.37148524263986e-19	1.37148524263986e-19	+1	462
GO:0010498	proteasomal protein catabolic process	1.79922181996395e-19	1.79922181996395e-19	+1	158
GO:0043043	peptide biosynthetic process	2.8072425249044e-19	2.8072425249044e-19	+1	212
GO:0140053	mitochondrial gene expression	3.53631647058293e-19	3.53631647058293e-19	+1	76
GO:0034660	ncRNA metabolic process	5.26435245070205e-19	5.26435245070205e-19	+1	188
GO:0070647	protein modification by small protein conjugation or removal	5.45764537009026e-19	5.45764537009026e-19	+1	255
GO:0032774	RNA biosynthetic process	7.61333457510076e-19	7.61333457510076e-19	+1	720
GO:0019222	regulation of metabolic process	8.17351933907944e-19	8.17351933907944e-19	+1	1285
GO:0034470	ncRNA processing	1.5634598991969e-18	1.5634598991969e-18	+1	143
GO:0051301	cell division	1.83750675957301e-18	1.83750675957301e-18	+1	190
