query	GO.ID	Description	p.Val	Genes	FDR	Phenotype
GSE61992	GO:0005737	cytoplasm	0.00142660931743447	40	0.00142660931743447	+1
GSE61992	GO:0005829	cytosol	0.0448625993606911	23	0.0448625993606911	+1
GSE61992	HPA:0471461	skin 2; langerhans cells[≥Low]	0.0406826452562765	10	0.0406826452562765	+1
GSE61992	MIRNA:hsa-miR-8076	hsa-miR-8076	0.0371119835268152	4	0.0371119835268152	+1
GSE91061	CORUM:306	Ribosome, cytoplasmic	5.48989426546601e-12	34	5.48989426546601e-12	+1
GSE91061	CORUM:308	60S ribosomal subunit, cytoplasmic	1.0249848641572e-06	20	1.0249848641572e-06	+1
GSE91061	CORUM:3055	Nop56p-associated pre-rRNA complex	0.000319612570064765	27	0.000319612570064765	+1
GSE91061	CORUM:305	40S ribosomal subunit, cytoplasmic	0.000335609012883352	14	0.000335609012883352	+1
GSE91061	CORUM:338	40S ribosomal subunit, cytoplasmic	0.000878229771816952	13	0.000878229771816952	+1
GSE91061	CORUM:5380	TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)	0.00595821441252088	10	0.00595821441252088	+1
GSE91061	GO:0002376	immune system process	2.31124408665451e-58	425	2.31124408665451e-58	+1
GSE91061	GO:0006955	immune response	4.49368620415043e-55	338	4.49368620415043e-55	+1
GSE91061	GO:0050776	regulation of immune response	1.14011041617544e-49	200	1.14011041617544e-49	+1
GSE91061	GO:0002682	regulation of immune system process	1.00328401310754e-48	274	1.00328401310754e-48	+1
GSE91061	GO:0045321	leukocyte activation	2.53198671805725e-43	198	2.53198671805725e-43	+1
GSE91061	GO:0002684	positive regulation of immune system process	1.20722353441711e-42	210	1.20722353441711e-42	+1
GSE91061	GO:0046649	lymphocyte activation	2.89622409970997e-41	174	2.89622409970997e-41	+1
GSE91061	GO:0050778	positive regulation of immune response	1.12762213081932e-39	163	1.12762213081932e-39	+1
GSE91061	GO:0001775	cell activation	1.4343216417136e-39	209	1.4343216417136e-39	+1
GSE91061	GO:0044419	biological process involved in interspecies interaction between organisms	6.88677321518062e-38	275	6.88677321518062e-38	+1
GSE91061	GO:0009607	response to biotic stimulus	1.22248419589963e-37	260	1.22248419589963e-37	+1
GSE91061	GO:0051707	response to other organism	3.52637328651112e-37	255	3.52637328651112e-37	+1
GSE91061	GO:0043207	response to external biotic stimulus	4.99227269095022e-37	255	4.99227269095022e-37	+1
GSE91061	GO:0140546	defense response to symbiont	1.19863890499825e-36	206	1.19863890499825e-36	+1
GSE91061	GO:0006952	defense response	1.45368110271075e-36	279	1.45368110271075e-36	+1
GSE91061	GO:0098542	defense response to other organism	1.47971588763446e-35	216	1.47971588763446e-35	+1
GSE91061	GO:0048583	regulation of response to stimulus	2.59210945645753e-35	475	2.59210945645753e-35	+1
GSE91061	GO:0045087	innate immune response	1.28078771605612e-34	185	1.28078771605612e-34	+1
GSE91061	GO:0042110	T cell activation	2.09731832136478e-34	133	2.09731832136478e-34	+1
GSE91061	GO:0051249	regulation of lymphocyte activation	1.96866679930934e-30	119	1.96866679930934e-30	+1
GSE91061	GO:0006950	response to stress	2.64261473715277e-30	453	2.64261473715277e-30	+1
GSE91061	GO:0002694	regulation of leukocyte activation	4.77832851879611e-30	127	4.77832851879611e-30	+1
GSE91061	GO:0050865	regulation of cell activation	3.67388587892537e-28	131	3.67388587892537e-28	+1
GSE91061	GO:0009605	response to external stimulus	2.26132989564473e-27	345	2.26132989564473e-27	+1
GSE91061	GO:0048584	positive regulation of response to stimulus	4.026444755837e-27	303	4.026444755837e-27	+1
GSE91061	GO:0050863	regulation of T cell activation	3.25051379891834e-25	94	3.25051379891834e-25	+1
GSE91061	GO:0002253	activation of immune response	4.06702906276352e-25	115	4.06702906276352e-25	+1
GSE91061	GO:0002764	immune response-regulating signaling pathway	1.50263728244727e-24	109	1.50263728244727e-24	+1
GSE91061	GO:0002831	regulation of response to biotic stimulus	3.54940611027793e-23	108	3.54940611027793e-23	+1
GSE91061	GO:0030098	lymphocyte differentiation	4.14922740778567e-23	99	4.14922740778567e-23	+1
GSE91061	GO:0002250	adaptive immune response	9.78277471468405e-23	136	9.78277471468405e-23	+1
GSE91061	GO:0048518	positive regulation of biological process	1.28095752462679e-22	619	1.28095752462679e-22	+1
GSE91061	GO:0002757	immune response-activating signaling pathway	1.8942224951081e-22	102	1.8942224951081e-22	+1
GSE91061	GO:0002768	immune response-regulating cell surface receptor signaling pathway	2.66290461013385e-22	83	2.66290461013385e-22	+1
GSE91061	GO:0030217	T cell differentiation	4.0034580192034e-22	80	4.0034580192034e-22	+1
GSE91061	GO:1903037	regulation of leukocyte cell-cell adhesion	4.53306902255908e-22	88	4.53306902255908e-22	+1
GSE91061	GO:0031347	regulation of defense response	4.6172693932127e-22	138	4.6172693932127e-22	+1
GSE91061	GO:0002683	negative regulation of immune system process	6.07986955486007e-22	105	6.07986955486007e-22	+1
GSE91061	GO:0002696	positive regulation of leukocyte activation	9.24060869560284e-22	86	9.24060869560284e-22	+1
GSE91061	GO:0032101	regulation of response to external stimulus	1.18789832219375e-21	171	1.18789832219375e-21	+1
GSE91061	GO:0002252	immune effector process	1.34949332310561e-21	129	1.34949332310561e-21	+1
GSE91061	GO:1903131	mononuclear cell differentiation	1.35718104165786e-21	103	1.35718104165786e-21	+1
GSE91061	GO:0080134	regulation of response to stress	1.37297151474761e-21	198	1.37297151474761e-21	+1
GSE91061	GO:0007159	leukocyte cell-cell adhesion	2.48868920968949e-21	92	2.48868920968949e-21	+1
GSE91061	GO:0001817	regulation of cytokine production	2.74254458104449e-21	137	2.74254458104449e-21	+1
